OBS.,AGE,CHK_ACCT,SAV_ACCT,NUM_CREDITS,DURATION,HISTORY,PRESENT_RESIDENT,EMPLOYMENT,JOB,NUM_DEPENDENTS,RENT,INSTALL_RATE,GUARANTOR,OTHER_INSTALL,OWN_RES,TELEPHONE,FOREIGN,REAL_ESTATE,TYPE,AMOUNT_REQUESTED,CREDIT_EXTENDED,NPV
298,29,0,0,2,24,1,4,0,0,1,1,1,0,0,0,0,0,0,1,1193,954,-424
467,50,2,0,1,6,4,4,2,1,1,0,2,0,0,1,0,0,0,5,1047,523,73
415,23,3,0,1,21,4,4,1,2,1,0,4,0,0,1,1,0,0,3,2288,"1,830",389
476,55,3,3,2,12,3,4,4,2,2,0,4,0,0,0,0,0,0,0,1555,933,-545
615,39,0,0,2,6,4,4,4,2,1,0,1,0,0,1,1,0,0,1,860,688,111
706,31,3,0,2,36,4,2,2,2,1,0,2,0,1,1,0,0,0,4,9566,"7,652",1185
783,36,3,0,2,18,0,2,2,2,2,0,2,0,1,1,0,0,0,6,4165,"3,748",-3135
218,34,1,0,1,24,3,2,0,3,1,0,3,0,0,1,1,0,0,3,2064,"1,651",-882
630,20,3,4,1,12,2,4,1,2,1,1,1,0,0,0,0,0,0,2,4675,"2,805",673
392,28,3,3,1,11,2,2,4,2,1,0,1,0,0,1,1,0,1,6,2142,"1,499",344
835,34,3,1,2,6,3,2,2,1,1,0,1,0,0,1,0,0,1,6,1743,"1,045",135
472,27,1,0,1,60,2,2,3,3,1,0,4,0,0,1,1,0,0,1,14027,"7,013",-2463
168,31,3,1,2,36,2,2,3,2,1,0,2,0,0,1,1,0,0,6,5742,"5,742",1198
22,33,3,4,2,9,4,2,2,2,2,0,1,0,0,1,0,0,1,4,3074,"2,151",262
431,44,3,2,1,48,4,2,2,2,1,0,2,0,1,0,0,0,0,1,10127,"6,076",-2454
904,24,1,0,1,9,2,3,2,2,1,0,4,0,0,1,0,0,1,4,458,412,127
571,35,3,2,1,15,2,4,4,2,1,0,1,0,0,0,0,0,0,1,5324,"3,194",629
90,43,0,0,4,27,4,4,4,3,2,0,4,0,1,1,1,0,0,6,2442,"1,709",-10
268,42,3,0,1,60,2,4,4,3,1,0,2,0,0,1,1,0,0,1,10366,"7,256",1522
